No,Escenario,Tipo_Cliente,Estrategia,Plantilla_Propuesta,Precio_Base,Argumentos_Venta,Upsell,Cierre,Seguimiento_Post
11,Upsell de menú infantil para eventos con familias,Cliente con niños confirmados en el evento,Preguntar directamente en la llamada de confirmación si habrá niños; no esperar a que el cliente lo mencione,"Email específico con el menú infantil detallado y el precio por niño; mencionar la posibilidad de adaptar si hay alergias infantiles específicas",18€/niño menú completo (macarrones caseros + pollo al horno + postre + agua y zumo). Descuento especial para grupos de >8 niños: 15€/niño,"Los niños también disfrutan de la celebración; el menú está diseñado por el chef para que les guste de verdad; sin menú infantil los niños acaban sin comer bien y los padres están pendientes de ellos en lugar de disfrutar","Actividad de mini taller de cocina para niños de 6-12 años (+8€/niño si hay >5 niños confirmados; duración 30 min durante el cóctel o el aperitivo)","Confirmar número de niños y sus alergias específicas antes de T-48h","Preguntar en el post-evento si los niños disfrutaron del menú y si los padres quedaron tranquilos; esto es muy informativo para el diseño del menú infantil"
12,Upsell de decoración y ambientación del espacio,Cliente que quiere dar un toque especial al evento,Proponer la decoración en el email de seguimiento de la confirmación; mencionar que hay packs cerrados con precio fijo para facilitar la decisión,"Email con los 3 packs de decoración (Esencial/Celebración/Exclusivo) con descripción visual y precio fijo total; no por pax sino por evento para simplificar","Pack Esencial: 180€ total (centro floral natural en cada mesa + velas). Pack Celebración: 390€ total (flores + globos + banner + velas + mantelería especial). Pack Exclusivo: 780€ total (diseño completo: floristería + iluminación decorativa + menaje especial + coordinación on-site)","Los detalles transforman un evento bueno en uno inolvidable; el pack incluye toda la coordinación con la floristería para que el cliente no tenga que gestionar nada","Foto reportaje del evento con fotógrafo colaborador de Oído Cocina (+350€ por 3h de cobertura); libro de firmas o libro de mensajes (+25€)","Proponer visita de la floristería al espacio 1 semana antes para ver las opciones in situ si el cliente no se decide por el catálogo","Solicitar fotos al cliente después del evento para alimentar las redes sociales de Oído Cocina (con permiso); las fotos de bodas y eventos decorados son el mejor contenido para Instagram"
13,Gestión de objeción de precio,Cualquier tipo de cliente,Nunca bajar el precio directamente como primer movimiento; primero añadir valor equivalente sin coste adicional,"Respuesta tipo: 'Entendemos que el presupuesto es importante. Por ese precio, lo que incluimos en Oído Cocina es... [listar todo el valor]. ¿Hay algún elemento del servicio que podamos ajustar para adaptar el total?'","Si hay que dar descuento: máximo 5€/pax con aprobación verbal de jefa de eventos; >8€/pax requiere aprobación escrita de dirección","La calidad del producto y del servicio no son negociables; el precio refleja el coste real de organizarlo bien; un precio más bajo significaría calidad más baja","Como alternativa al descuento: ofrecer un servicio adicional de valor equivalente sin coste (cata previa gratuita, upgrade de vino, cóctel de bienvenida de obsequio)","Si el cliente acepta el precio sin descuento: agradecerlo explícitamente y comprometerse a superar sus expectativas","Registrar la causa de todas las objeciones de precio en el módulo de historial para analizar mensualmente si hay un problema de posicionamiento de precios"
14,Propuesta estacional de primavera,Clientes corporativos y particulares en marzo-abril,Lanzar campañas activas en marzo aprovechando el buen tiempo en Granada y la demanda de eventos al aire libre en la Terraza y el Jardín,"Email de campaña de primavera: foto de la Terraza Sur con buenas vistas + menú de primavera con producto de temporada + fechas disponibles de abril a junio + precio especial de apertura de temporada","Menú primavera en Terraza: desde 72€/pax (incluye bebidas). Cóctel en Jardín: desde 55€/pax. Desayuno terraza: desde 30€/pax","Primavera en Granada es excepcional (temperaturas perfectas, jardines en flor, vistas a Sierra Nevada); la Terraza y el Jardín están disponibles de abril a octubre; producto de primavera de la Vega de Granada en su mejor momento","Flores de temporada en el espacio incluidas en los eventos de primavera (+0€ durante abril-mayo); maridaje de vino blanco de la Axarquía especial de primavera (+10€/pax)","Reservar antes del 31 de marzo para acceder al precio especial de apertura de temporada","Enviar a todos los clientes del año anterior que celebraron eventos en primavera para incentivar la repetición en la misma temporada"
15,Propuesta en temporada baja,Clientes corporativos de Granada en enero-febrero,Incentivos activos para llenar los meses de menor demanda sin erosionar la percepción de calidad de la marca,"Email de campaña temporada baja: no llamarlo 'descuento' sino 'precio especial de enero' o 'tarifa exclusiva de invierno'; incluir fecha de validez corta para crear urgencia","Enero-Febrero: -12% sobre tarifa estándar. Precio resultante cóctel: desde 46€/pax. Menú: desde 58€/pax. Desayuno: desde 22€/pax. Restricción: válido solo para eventos de semana (lunes a jueves)","Los meses de enero y febrero son perfectos para events de planificación anual, team building de inicio de año y reuniones de directivos en un entorno tranquilo sin el bullicio de eventos de verano","Incluir cata de vinos de la temporada sin coste adicional en eventos de enero-febrero (producto que está disponible porque la bodega lo distribuye en enero)","Confirmación y señal antes de 10 días para acceder al precio especial; sin confirmación en plazo el precio vuelve a la tarifa estándar","Contactar de nuevo en septiembre cuando empiece a planificar los eventos del año siguiente; usar el evento de enero como punto de partida de la relación"
16,Seguimiento de propuesta sin respuesta,Propuesta enviada hace más de 5 días sin respuesta del cliente,Máximo 2 seguimientos (email + WhatsApp); más de 2 seguimientos sin respuesta puede generar rechazo y dañar la relación,"1er seguimiento (día 5): email breve y amable recordando la propuesta y preguntando si hay alguna duda. 2do seguimiento (día 10): WhatsApp informal con pregunta directa y mención de que la fecha puede tener otras consultas (solo si es verdad)","N/A","El primer seguimiento debe ser de ayuda (¿hay alguna duda que pueda resolver?) no de presión (¿ha tomado ya una decisión?)","En el segundo seguimiento: si es verdad que hay otra consulta para esa fecha mencionarlo genuinamente; si no es verdad no inventarlo","Si no responde al 2do seguimiento: cerrar la oportunidad en el sistema y añadir al cliente a la newsletter mensual para mantener el contacto a largo plazo sin presionar","Registrar la oportunidad como 'perdida' en el módulo de historial con la causa conocida (precio, plazo, cancelo el evento, eligió otro proveedor) para análisis mensual de la tasa de pérdida"
17,Acuerdo marco para empresa con eventos recurrentes,Empresa que celebra 4 o más eventos al año en Oído Cocina,Proponer el acuerdo marco después del 2do evento completado satisfactoriamente; no antes para que ya conozcan la calidad,"Documento de acuerdo marco: carta de servicios con precio fijo por tipo de evento (vigente 12 meses); descuento del 8% sobre tarifa; facturación mensual consolidada; interlocutor comercial único asignado; slots de fecha reservados anualmente","Cóctel marco anual: 49€/pax (-8% sobre 53€). Menú marco anual: 68€/pax (-8% sobre 74€). Desayuno marco anual: 24€/pax (-8% sobre 26€). Precio fijo durante 12 meses sin revisión (salvo IPC > 5%)","Simplifica la gestión interna del cliente (un proveedor, un contacto, una factura mensual); precio fijo sin sorpresas; prioridad en la reserva de fechas; servicio personalizado al haber historial previo","Servicio de catering para reuniones informales del cliente en sus propias instalaciones a tarifa especial (si el restaurante tiene capacidad de operación externa)","Firma del acuerdo marco + confirmación del calendario anual de eventos previstos; señal inicial del 30% del evento del primer mes","Revisión trimestral del acuerdo con una llamada: seguimiento de satisfacción, ajuste de fechas previstas, sugerencias de novedades del menú de temporada"
18,Estrategia de pricing con IVA incluido vs excluido,Cualquier tipo de cliente,Siempre presentar el precio IVA incluido en la propuesta para evitar sorpresas; indicar explícitamente 'precio por persona IVA incluido (10% hostelería)' en cada propuesta,"En la propuesta: mencionar siempre de forma explícita qué incluye el precio (menú / bebidas / servicio / espacio) y qué no incluye (DJ / fotógrafo / decoración especial). Nunca dejar ambigüedad sobre qué está en el precio base.","El IVA aplicable en hostelería es del 10%. El precio por pax en la propuesta es siempre el precio final que paga el cliente (precio de venta al público con IVA)","Presentar el precio IVA incluido genera confianza y reduce sorpresas desagradables al recibir la factura; los clientes profesionales (empresas) saben que pueden deducirse el IVA","En la propuesta a empresas: indicar precio IVA incluido + precio sin IVA entre paréntesis para facilitar la contabilidad interna del cliente","Confirmar siempre en la llamada de cierre que el cliente ha entendido exactamente qué incluye el precio antes de firmar","Si el cliente recibe la factura y el IVA le sorprende: es un síntoma de que la propuesta no fue suficientemente clara; revisar la plantilla de propuesta para futuros casos"
19,Análisis mensual de pipeline de ventas,Jefa de Eventos y Dirección,Revisar el pipeline de ventas el primer lunes de cada mes para analizar la tasa de conversión y los motivos de pérdida,"Datos a revisar: número de consultas recibidas en el mes / número de propuestas enviadas / número de eventos confirmados / número de eventos perdidos (y su causa). Tasa de conversión objetivo: consulta→propuesta >80%; propuesta→confirmado >40%. Comparar con el mismo mes del año anterior.","N/A; es un proceso de análisis interno","Si la tasa de conversión de propuesta→confirmado está por debajo del 35%: revisar si el problema es de precio, de propuesta (presentación), de velocidad de respuesta o de competencia","Identificar el tipo de evento y el perfil de cliente con mayor tasa de conversión para concentrar el esfuerzo comercial en los segmentos más rentables","Reunión de 30 minutos el primer lunes del mes con jefa de eventos y dirección","Los eventos perdidos son tan informativos como los ganados; investigar siempre la causa de la pérdida cuando es posible para mejorar la estrategia"
20,Presentación de precios con técnica de anclaje,Cualquier tipo de cliente en primera propuesta,Presentar siempre primero la opción más cara para que el precio de la opción media parezca más razonable por comparación,"Estructura de propuesta: OPCIÓN PREMIUM (primero, precio más alto con todo incluido) → OPCIÓN ESTÁNDAR (segundo, precio medio, opción que el cliente acaba eligiendo normalmente) → OPCIÓN ESENCIAL (tercero, precio más bajo, sin extras). Nombrarlas por valor percibido, no por precio: 'Experiencia / Celebración / Esencial' en lugar de 'Cara / Media / Barata'.","El 65% de los clientes elige la opción media cuando se presenta en este orden según el principio de anclaje","Al ver primero el precio premium (98€/pax), el precio medio (78€/pax) parece una ganga comparativamente; sin el anclaje del premium el cliente percibe el 78€ como caro","Si el cliente pregunta directamente por la opción básica: responder con los detalles pero mencionar qué más incluiría la opción media por solo X€ más por persona","Confirmar qué opción ha elegido el cliente antes de preparar la propuesta definitiva y el contrato","Registrar qué opción elige cada cliente para analizar mensualmente el mix de ventas por categoría y ajustar las propuestas"
21,Gestión de cliente que cancela el evento,Cualquier tipo de cliente que cancela después de haber confirmado,"Aplicar la política de cancelación con firmeza pero con empatía; registrar la cancelación en el sistema; intentar reagendar para otra fecha","Política de cancelación: Cancelación >30 días antes: devolución del 80% de la señal. Cancelación 15-30 días antes: devolución del 50% de la señal. Cancelación 7-15 días antes: sin devolución de señal. Cancelación <7 días: señal + 30% del importe total del evento.","La señal de cancelación cubre los costes de reserva del espacio, pedidos realizados y planificación del equipo","Al comunicar la cancelación: expresar comprensión por la situación del cliente antes de aplicar la política; ofrecer siempre la posibilidad de reagendar sin penalización económica adicional","Proponer fecha alternativa en las próximas 6 semanas como primera opción antes de aplicar la política de cancelación; muchos eventos se reagendan en lugar de cancelarse definitivamente","Registrar la cancelación en el módulo de historial con la causa conocida para analizar los patrones de cancelación","Mantener el contacto con el cliente cancelado; muchas veces vuelven en otra fecha y una buena gestión de la cancelación genera fidelidad"
22,Pricing para Semana Santa y festividades,Clientes que buscan eventos en fechas festivas de alta demanda en Granada,Aplicar precio premium en fechas de alta demanda sin necesidad de justificación; comunicarlo como 'precio especial de temporada' de forma natural,"En la propuesta para fechas de Semana Santa, Corpus Christi, puentes nacionales y fiestas de Granada: aplicar el suplemento de temporada alta automáticamente","Suplemento Semana Santa: +15% sobre tarifa estándar. Suplemento Corpus Christi (junio): +12%. Suplemento puentes nacionales: +10%. Estos precios se comunican como la tarifa de esas fechas, no como un suplemento explícito.","Granada es un destino de alta demanda en Semana Santa y Corpus; el espacio tiene disponibilidad muy limitada en esas fechas; la demanda es alta y justifica el precio","Las fechas de alta demanda no requieren upsell adicional; el propio precio de temporada alta hace el trabajo de maximizar el ingreso por evento","Confirmar la reserva con señal del 40% (en lugar del 30% habitual) para fechas de alta demanda; el riesgo de cancelación tardía es mayor en festivos","Iniciar la captación para Semana Santa en enero; para Corpus Christi en marzo; para Nochevieja en septiembre; las fechas festivas se llenan con muchos meses de antelación"
23,Propuesta de paquete todo incluido,Clientes que quieren simplicidad y precio cerrado sin sorpresas,Ofrecer un precio todo incluido que agrupe el menú + bebidas + servicio + espacio en un único número por persona para facilitar la decisión,"Propuesta de 1 único precio por persona que incluye absolutamente todo: menú completo + bebidas (agua + vino + cava) + servicio de sala + uso del espacio + coordinador de eventos + parking. El cliente no tiene que calcular nada más.","Cóctel todo incluido con barra libre de vinos: desde 65€/pax. Menú todo incluido con maridaje: desde 90€/pax. Desayuno todo incluido: desde 35€/pax","El cliente tiene el presupuesto total desde el primer momento sin riesgo de desviación; no hay letra pequeña; no hay cargos adicionales sorpresa al recibir la factura final","Para el paquete todo incluido: ofrecer solo el upgrade de decoración como único upsell posible (+180-780€ según pack), porque el resto ya está incluido","El precio todo incluido acelera el proceso de decisión porque elimina todas las variables; ideal para clientes que se bloquean con propuestas con múltiples opciones","Analizar mensualmente cuántos clientes eligen el paquete todo incluido vs precio modular para entender la preferencia por transparencia de precio"
24,Estrategia de ventas en temporada alta (Abril-Junio y Septiembre-Octubre),Jefa de Eventos y Dirección,Maximizar el precio medio por evento y la ocupación del espacio en los meses de mayor demanda,"En temporada alta: 1. No hacer descuentos salvo casos excepcionales con aprobación de dirección. 2. Priorizar eventos de mayor ticket (menús de gala y bodas sobre desayunos corporativos). 3. Proponer con rapidez para cerrar antes que la competencia. 4. Ocupar primero los fines de semana (mayor demanda). 5. Para semanas completas con varios eventos: gestionar la carga del equipo para no saturar.","Mantener precios de tarifa completa en temporada alta; el objetivo es maximizar el RevPAE (ingreso por slot de evento disponible)","En temporada alta la demanda supera la oferta; el cliente que recibe una propuesta rápida y profesional tiene más probabilidad de confirmar aunque haya otras opciones a precio similar","En temporada alta el upsell es más efectivo porque el cliente ya está en modo 'gastar'; priorizar upsells de alto valor: barra libre premium, decoración pack exclusivo, fotógrafo","Reducir el plazo de confirmación de la propuesta a 7 días en temporada alta (vs 15 días en baja temporada)","Revisar cada lunes de temporada alta la ocupación prevista de las semanas siguientes para detectar slots disponibles que se pueden llenar con acciones comerciales proactivas"
25,KPIs de ventas mensuales,Jefa de Eventos y Dirección,Revisar los KPIs de ventas mensualmente para tomar decisiones informadas sobre la estrategia comercial,"KPIs a revisar mensualmente: número de consultas recibidas / número de propuestas enviadas / número de eventos confirmados / tasa de conversión propuesta→confirmado (objetivo >40%) / ticket medio por tipo de evento / ingresos totales del mes / margen bruto estimado / top 3 eventos por ingresos / tipo de evento más solicitado. Comparar con el mismo mes del año anterior.","N/A; es análisis de gestión","El análisis mensual de KPIs permite detectar tendencias: si el ticket medio baja → revisar si hay exceso de descuentos; si la tasa de conversión baja → revisar la calidad de las propuestas o los precios","No aplica; el análisis no tiene upsell asociado","Reunión mensual de 45 minutos el día 3 de cada mes entre jefa de eventos y dirección del restaurante","Los KPIs de ventas deben visualizarse en el módulo Historial de la app con los filtros adecuados; el análisis de tendencias está disponible en el gráfico de Historial"
