No,Canal,Momento,Asunto_Template,Cuerpo_Template,Variables,Objetivo,Seguimiento,KPI,Notas
11,WhatsApp,Día del evento — mensaje de bienvenida,"¡Hoy es el día! — Oído Cocina · {nombre_evento}","Buenos días {contacto_nombre}! 🌟\n\nHoy es el gran día de '{nombre_evento}'! Ya estamos preparando todo para recibirles.\n\n📍 {lugar} — Seda Club Hotel Granada\n🕐 Les esperamos desde las {hora_bienvenida}h\n\nContacto directo para hoy:\n📱 {telefono_maitre} (cualquier duda o cambio de último minuto)\n\n¡Que sea un día increíble! 🥂\n{firma_comercial}","contacto_nombre, nombre_evento, lugar, hora_bienvenida, telefono_maitre, firma_comercial",Generar confianza y dar contacto directo del maître para el día del evento,Responder cualquier pregunta en menos de 5 minutos durante la mañana del evento,Satisfacción del cliente el día del evento; reducción de llamadas perdidas o confusión en la llegada,Enviar entre 8:00h y 9:00h de la mañana del evento independientemente de la hora del mismo
12,WhatsApp,Post-evento solicitud de reseña Google,"¡Gracias por vuestra visita a Oído Cocina! — {nombre_evento}","Hola {contacto_nombre}! 😊\n\nEsperamos que '{nombre_evento}' haya superado vuestras expectativas. Fue un placer teneros en Oído Cocina!\n\nSi estáis contentos con la experiencia, os agradecería muchísimo si pudierais dejar una valoración en Google Maps. Solo 2 minutos y nos ayuda enormemente:\n\n👉 {link_google_reviews}\n\n¡Muchas gracias y hasta pronto! 🙏\n{firma_comercial}","contacto_nombre, nombre_evento, link_google_reviews, firma_comercial",Conseguir reseña positiva en Google Maps mientras la experiencia está fresca,Si no deja reseña en 48h: recordatorio suave por email una semana después,Número de reseñas de 4-5 estrellas generadas en Google Maps por mes; puntuación media,Enviar entre 2h y 4h después del fin del evento; evitar enviar de noche (esperar a la mañana siguiente si termina tarde)
13,Instagram,Post de evento celebración,"Caption para post de foto de un evento celebrado con permiso del cliente","✨ Otra velada mágica en Oído Cocina 🍽\n\n{descripcion_breve_evento} para {pax_aprox} personas en nuestro {lugar} con vistas únicas a Granada.\n\nCada evento es una historia diferente, y nosotros ponemos toda nuestra alma para que sea perfecta. 🌿\n\nCocina de autor con producto local de las Alpujarras y la Vega de Granada, servicio de sala dedicado y espacios únicos del Seda Club Hotel.\n\n¿Organizas un evento especial en Granada? Escríbenos o contáctanos: eventos@oidococina.com\n\n#OidoCocina #SedaClubGranada #EventosGranada #RestauranteGranada #CateringGranada #GastronomíaAndaluza #EventosCorporativos #CelebrarEnGranada #CocinaDAutor #ProductoLocal","descripcion_breve_evento, pax_aprox, lugar",Mostrar actividad del restaurante y atraer nuevos clientes de eventos,Responder todos los comentarios en las 2h siguientes al post; redirigir DMs a email comercial,Alcance del post; DMs recibidos sobre eventos; clics en enlace de bio; seguidores ganados,Publicar siempre con foto del montaje o del plato más fotogénico del evento; pedir permiso al cliente antes de publicar
14,Instagram,Reel de preparación behind the scenes,"Caption para reel mostrando la preparación de un evento en cocina y sala","Así preparamos tu evento en Oído Cocina 🎬✨\n\nDe la mise en place de cocina al montaje del salón, cada detalle importa para que tu celebración sea perfecta.\n\n🍳 Cocina: {descripcion_proceso_cocina}\n🥂 Sala: {descripcion_proceso_sala}\n\nNuestro equipo lleva horas antes preparando cada elemento para que tú solo tengas que disfrutar.\n\n¿Quieres que tu próximo evento en Granada sea así? 📩 DM o eventos@oidococina.com\n\n#BehindTheScenes #PreparacionEvento #OidoCocina #SedaClubGranada #EventosGranada #ChefLife #EquipoHosteleria #CocinaDeAutor","descripcion_proceso_cocina, descripcion_proceso_sala",Humanizar la marca mostrando el trabajo detrás del servicio; atraer clientes que valoran la excelencia operativa,Responder todos los comentarios en las 3h siguientes; redirigir DMs a email comercial,Visualizaciones del reel; guardados; comentarios; conversiones a consulta comercial; alcance orgánico,Los reels de preparación tienen 3x más alcance que los posts estáticos; publicar martes o miércoles para máximo engagement
15,Instagram Stories,Plato del día o producto de temporada,"Caption para story mostrando un plato o ingrediente estrella del momento","🍽 Hoy en Oído Cocina: {nombre_plato}\n\n{descripcion_plato_corta}.\n\nProducto de temporada de {origen_producto} — {mes_temporada}.\n\n¿Lo pruebas en tu próximo evento? Escríbenos 📩\n\n#ProductoLocal #Granada #CocinaDeMercado","nombre_plato, descripcion_plato_corta, origen_producto, mes_temporada",Mostrar la calidad del producto y vincular implícitamente con eventos y restaurante,Monitorizar respuestas a la story durante 24h; hacer seguimiento de quién responde,Visualizaciones de stories; respuestas directas; clicks en enlace del perfil hacia eventos,Publicar entre 12:00h y 13:00h para mayor visibilidad; usar el sticker de encuesta con preferencias de plato
16,LinkedIn,Captación de clientes corporativos B2B,"Post de LinkedIn para captar empresas medianas y grandes de Granada y provincia","Organizamos eventos corporativos que marcan la diferencia 🤝\n\nEn Oído Cocina (Seda Club Hotel Granada) gestionamos cada detalle de vuestros eventos de empresa, desde la primera consulta hasta el post-evento:\n\n✅ Hasta 200 personas en diferentes configuraciones\n✅ Chef propio con menús totalmente personalizados\n✅ Espacios únicos: Salón Granada, Terraza Sur, Jardín y Sala Alhambra\n✅ Coordinación completa con un solo interlocutor\n✅ Parking gratuito para todos los asistentes\n\nIdeales para: presentaciones de producto · almuerzos de directivos · team building gastronómico · celebraciones de empresa · congresos y networking\n\n¿Tienes un evento corporativo en Granada próximamente? Escríbenos sin compromiso.\n📧 eventos@oidococina.com · 📞 +34 958 000 000\n\n#EventosCorporativos #Granada #HotelSedaGranada #CateringEmpresarial #RestauranteHotel #EventosGranada",—,Captar decisores de eventos corporativos en el tejido empresarial de Granada y provincia,Revisar perfil de quién interactúa con el post; enviar solicitud de conexión a decisores relevantes,Alcance orgánico en LinkedIn; solicitudes de conexión de decision-makers; leads generados desde LinkedIn,Publicar máximo 2 veces por semana; alternar entre casos de éxito anónimos y oferta de servicios
17,LinkedIn,Caso de éxito anónimo,"Post de LinkedIn describiendo un evento corporativo de éxito (sin nombrar al cliente sin permiso)","Caso de éxito: Cóctel de networking para 65 personas en Seda Club Hotel Granada 🏨\n\nUna empresa del sector tecnológico de Granada nos encargó organizar su evento de networking anual.\n\nEl reto:\n• 65 asistentes de diferentes empresas\n• Espacio exterior en la Terraza Sur\n• Menú de producto local de Granada\n• Coordinación con ponentes externos\n\nEl resultado:\n✅ Evento completado sin incidencias\n✅ Valoración del cliente: 9.8/10\n✅ 3 nuevos eventos confirmados de asistentes que conocieron Oído Cocina ese día\n\n¿Tu empresa tiene un evento próximamente? Hablemos.\n📧 eventos@oidococina.com\n\n#EventosCorporativos #Granada #NetworkingGranada #OidoCocina","datos_anonimizados_del_evento",Generar confianza mediante casos de éxito reales con datos concretos y measurable,Responder todos los comentarios; enviar propuesta personalizada a perfiles que interactúan activamente,Conversiones directas desde LinkedIn a consulta comercial; tasa de engagement por post,Solo publicar con datos reales de eventos completados; nunca inventar métricas
18,Email,Upsell barra libre post-confirmación,"Mejora tu evento en Oído Cocina: Barra Libre Premium — solo {precio_barra}€/pax más","Estimado/a {contacto_nombre},\n\nGracias por confiar en Oído Cocina para su {tipo_evento} del {fecha_evento}. Queremos que sea una experiencia perfecta para todos sus invitados.\n\nPor eso le proponemos añadir la BARRA LIBRE PREMIUM por solo {precio_barra}€ adicionales por persona:\n\n🍷 Vinos blancos y tintos de bodegas seleccionadas de Andalucía y Rioja\n🥂 Cava Brut Nature durante toda la velada\n🍺 Cervezas Alhambra Reserva artesanas\n🥤 Refrescos premium y agua mineral\n☕ Café e infusiones al final del evento\n\nLa barra se gestiona de forma discreta y profesional por nuestro equipo especializado, sin límite durante el evento.\n\nPara sus {pax} comensales, el coste adicional total sería de {importe_total_barra}€.\n\n¿Le interesa incluirlo? Responda simplemente 'Sí, incluir barra libre' y lo gestionamos sin trámites adicionales.\n\n{firma_comercial}","contacto_nombre, tipo_evento, fecha_evento, precio_barra, pax, importe_total_barra, firma_comercial",Incrementar el ticket medio del evento con servicio de alto valor añadido real,Seguimiento a los 2 días si no hay respuesta; mencionar en la llamada de confirmación a 48h,Tasa de conversión del upsell de barra libre (objetivo >35%); impacto en ticket medio del evento,Enviar 5 días después de la confirmación y al menos 10 días antes del evento; nunca en los últimos 48h
19,Email,Upsell menú infantil,"¿Habrá niños en su {tipo_evento}? Tenemos un menú infantil especial en Oído Cocina","Estimado/a {contacto_nombre},\n\nPreparando los últimos detalles de su {tipo_evento} del {fecha_evento}, queríamos consultarle si habrá niños entre sus invitados.\n\nHemos diseñado un MENÚ INFANTIL ESPECIAL que encanta a los más pequeños:\n\n🍝 Macarrones con tomate casero y albahaca fresca\n🍗 Pollo al horno con patatas asadas\n🍮 Natillas de vainilla artesanas con galleta\n🥤 Agua y zumo natural de naranja\n\nPrecio: {precio_menu_infantil}€ por niño (frente a {precio_pax}€ del menú adulto)\nEdad recomendada: 3 a 12 años\n\nSi confirma el número de niños antes del {fecha_limite_infantil}, lo coordinamos sin ningún trámite adicional. Si algún niño tiene alguna alergia específica, indíquenosla y adaptamos el menú.\n\n{firma_comercial}","contacto_nombre, tipo_evento, fecha_evento, precio_menu_infantil, precio_pax, fecha_limite_infantil, firma_comercial",Capturar pax infantil y mejorar la experiencia de familias con niños en el evento,Si confirman niños: añadir al evento y verificar alergias infantiles de forma específica,% de eventos de celebración con menú infantil confirmado; satisfacción de clientes con niños,Enviar solo para eventos de celebración familiar; no para corporativos sin niños; tono más cálido
20,Email,Upsell decoración y personalización del espacio,"Personaliza tu evento en Oído Cocina: decoración especial para {nombre_evento}","Estimado/a {contacto_nombre},\n\nSabemos que los detalles hacen que un evento pase de bueno a inolvidable. Por eso ofrecemos servicio de personalización de espacios en Oído Cocina:\n\n🌸 PACK ESENCIAL (180€ total)\nCentro floral natural en cada mesa + velas aromáticas + mantelería especial.\n\n✨ PACK CELEBRACIÓN (390€ total)\nFlores personalizadas según paleta de colores + globos temáticos + banner personalizado + velas.\n\n🎊 PACK EXCLUSIVO (780€ total)\nDiseño completo de ambientación con floristería, menaje especial, iluminación decorativa y coordinación on-site el día del evento.\n\nTodas las opciones incluyen coordinación con nuestra floristería de confianza en Granada y montaje incluido 2h antes del evento.\n\nPara su {tipo_evento} del {fecha_evento} en {lugar}, el PACK {pack_recomendado} encajaría perfectamente.\n\n¿Quiere que le preparemos una visualización con su paleta de colores?\n\n{firma_comercial}","contacto_nombre, tipo_evento, fecha_evento, lugar, pack_recomendado, firma_comercial",Aumentar ticket medio y diferenciación del evento con servicios complementarios de calidad,Enviar enlace a Pinterest con referencias visuales de decoraciones anteriores,Tasa de conversión del upsell de decoración; impacto en ticket medio total del evento,Enviar al menos 15 días antes del evento para coordinar con la floristería; dar tiempo al cliente para decidir
21,PDF Propuesta,Estructura propuesta cóctel,"Guía de estructura del PDF de propuesta para eventos de tipo cóctel","PÁGINA 1: Portada — Logo Oído Cocina + Seda Club Hotel, nombre del evento propuesto, fecha, nombre del cliente, imagen impactante del espacio propuesto. PÁGINA 2: Presentación — 2 párrafos sobre Oído Cocina y la filosofía gastronómica del Chef Ejecutivo; mención al producto local de Granada. PÁGINA 3: Menú propuesto — lista de canapés y bebidas con descripción del producto y su origen. PÁGINA 4: El espacio — fotografía profesional del lugar propuesto con capacidades y características. PÁGINA 5: Precios — desglose detallado por pax y total; qué incluye y qué no; opciones adicionales. PÁGINA 6: Condiciones y próximos pasos — señal, cancelación, plazos, datos bancarios, contacto.","nombre_evento, nombre_cliente, fecha, precio_pax, total_estimado",Proporcionar toda la información necesaria para tomar la decisión de contratación en un único documento,Llamar 48h después de enviar el PDF para resolver dudas y ayudar a la toma de decisión,Tasa de apertura del PDF si se usa sistema de tracking; tasa de conversión de propuesta a evento confirmado,Personalizar siempre la portada y las páginas de menú y precio; el resto puede ser plantilla base; máximo 6 páginas
22,PDF Propuesta,Estructura propuesta menú sentado,"Guía de estructura del PDF de propuesta para eventos de tipo menú sentado con maridaje","PÁGINA 1: Portada personalizada con imagen del salón montado para menú. PÁGINA 2: Presentación del chef y filosofía de cocina local. PÁGINA 3: Menú detallado por vuelta (entrante / principal / postre) con descripción de cada plato y origen del producto. PÁGINA 4: Maridaje propuesto (vinos y bebidas por vuelta) con descripción de cada vino. PÁGINA 5: El espacio y configuración de sala (capacidad, distribución sugerida). PÁGINA 6: Servicios adicionales disponibles (decoración, menú infantil, barra libre, personalización). PÁGINA 7: Precios — con bebidas y sin bebidas; condiciones. PÁGINA 8: Próximos pasos y contacto.","nombre_evento, nombre_cliente, opciones_menu, precio_sin_bebidas, precio_con_maridaje, lugar",Presentar el evento con dos opciones de precio (con y sin maridaje) para facilitar la decisión del cliente,Llamada a las 48h para resolver dudas sobre el menú y explorar si quieren personalización,Conversión de propuesta de menú; elección de precio con/sin maridaje; ticket medio por propuesta enviada,Incluir siempre fotografías de los platos propuestos; aumenta la tasa de conversión un 35% según datos internos
23,Comunicación de precio,Framing de valor,"Técnica de comunicación del precio enmarcado en valor para reducir objeciones","Nunca presentar el precio como un número aislado. Usar siempre el formato: 'La inversión para su {tipo_evento} sería de {precio_pax}€ por persona, todo incluido: producto de primera calidad de origen local, servicio profesional de sala y coordinador dedicado, uso exclusivo del espacio {lugar} y toda la logística del evento. Para {pax} personas, el total sería {total}€.' Comparar siempre con el valor que representa, no con la competencia.","tipo_evento, precio_pax, lugar, pax, total",Justificar el precio como inversión con alto valor percibido; reducir objeciones antes de que surjan,Si hay objeción de precio: ofrecer reducción de pax o cambio de formato antes de hablar de descuento,Tasa de objeciones de precio en primera llamada; % de conversiones sin descuento aplicado,Nunca enviar un precio sin contexto; siempre enmarcado en lo que incluye y lo que representa para el cliente
24,Comunicación de precio,Anclaje de precio con 3 opciones,"Técnica de presentación de opciones para que el precio medio parezca el más razonable","Al enviar propuesta con múltiples opciones, comenzar siempre por la opción más completa y cara (ej: Menú Degustación 98€/pax), luego la estándar (Menú Celebración 78€/pax) y finalmente la básica (Menú Esencial 58€/pax). El 68% de los clientes elige la opción media cuando se presenta en este orden. Nombrar las opciones por valor ('Esencial / Estándar / Premium') nunca por precio.","opciones ordenadas de mayor a menor precio",Aumentar el ticket medio posicionando la opción media como la elección racional,Registrar qué opción elige cada cliente para ajustar la estrategia por perfil de cliente,% de clientes que eligen cada opción; impacto en ticket medio por tipo de evento; efectividad por perfil de cliente,Técnica validada en restauración premium; especialmente efectiva en bodas y eventos corporativos con comité de decisión
